       0.00000000       0.05000000       0.00000000      -0.50000000       0.00000000       0.00250000
       0.00100000       0.04999975      -0.00050000      -0.49999750       0.00000013       0.00249998
       0.00200000       0.04999900      -0.00100000      -0.49999000       0.00000050       0.00249990
       0.00300000       0.04999775      -0.00149999      -0.49997750       0.00000112       0.00249978
       0.00400000       0.04999600      -0.00199997      -0.49996000       0.00000200       0.00249960
       0.00500000       0.04999375      -0.00249993      -0.49993750       0.00000312       0.00249938
       0.00600000       0.04999100      -0.00299986      -0.49991000       0.00000450       0.00249910
       0.00700000       0.04998775      -0.00349977      -0.49987750       0.00000612       0.00249878
       0.00800000       0.04998400      -0.00399965      -0.49984001       0.00000800       0.00249840
       0.00900000       0.04997975      -0.00449949      -0.49979751       0.00001012       0.00249798
       0.01000000       0.04997500      -0.00499929      -0.49975002       0.00001250       0.00249750
       0.01100000       0.04996975      -0.00549904      -0.49969753       0.00001512       0.00249698
       0.01200000       0.04996400      -0.00599874      -0.49964004       0.00001799       0.00249640
       0.01300000       0.04995776      -0.00649838      -0.49957755       0.00002111       0.00249578
       0.01400000       0.04995101      -0.00699795      -0.49951007       0.00002449       0.00249510
       0.01500000       0.04994376      -0.00749746      -0.49943759       0.00002811       0.00249438
       0.01600000       0.04993601      -0.00799690      -0.49936012       0.00003198       0.00249361
       0.01700000       0.04992777      -0.00849626      -0.49927765       0.00003609       0.00249278
       0.01800000       0.04991902      -0.00899554      -0.49919020       0.00004046       0.00249191
       0.01900000       0.04990978      -0.00949473      -0.49909774       0.00004507       0.00249099
       0.02000000       0.04990003      -0.00999383      -0.49900030       0.00004994       0.00249001
       0.02100000       0.04988979      -0.01049283      -0.49889787       0.00005505       0.00248899
       0.02200000       0.04987905      -0.01099172      -0.49879045       0.00006041       0.00248792
       0.02300000       0.04986780      -0.01149052      -0.49867803       0.00006602       0.00248680
       0.02400000       0.04985606      -0.01198919      -0.49856064       0.00007187       0.00248563
       0.02500000       0.04984383      -0.01248775      -0.49843825       0.00007797       0.00248441
       0.02600000       0.04983109      -0.01298619      -0.49831088       0.00008432       0.00248314
       0.02700000       0.04981785      -0.01348450      -0.49817853       0.00009092       0.00248182
       0.02800000       0.04980412      -0.01398268      -0.49804119       0.00009776       0.00248045
       0.02900000       0.04978989      -0.01448072      -0.49789887       0.00010485       0.00247903
       0.03000000       0.04977516      -0.01497862      -0.49775158       0.00011218       0.00247757
       0.03100000       0.04975993      -0.01547637      -0.49759930       0.00011976       0.00247605
       0.03200000       0.04974421      -0.01597397      -0.49744205       0.00012758       0.00247449
       0.03300000       0.04972798      -0.01647141      -0.49727982       0.00013565       0.00247287
       0.03400000       0.04971126      -0.01696869      -0.49711262       0.00014397       0.00247121
       0.03500000       0.04969405      -0.01746581      -0.49694045       0.00015253       0.00246950
       0.03600000       0.04967633      -0.01796275      -0.49676331       0.00016133       0.00246774
       0.03700000       0.04965812      -0.01845951      -0.49658120       0.00017038       0.00246593
       0.03800000       0.04963941      -0.01895609      -0.49639412       0.00017967       0.00246407
       0.03900000       0.04962021      -0.01945249      -0.49620208       0.00018920       0.00246217
       0.04000000       0.04960051      -0.01994869      -0.49600507       0.00019898       0.00246021
       0.04100000       0.04958031      -0.02044469      -0.49580310       0.00020899       0.00245821
       0.04200000       0.04955962      -0.02094050      -0.49559618       0.00021925       0.00245616
       0.04300000       0.04953843      -0.02143609      -0.49538429       0.00022975       0.00245406
       0.04400000       0.04951675      -0.02193148      -0.49516746       0.00024049       0.00245191
       0.04500000       0.04949457      -0.02242664      -0.49494567       0.00025148       0.00244971
       0.04600000       0.04947189      -0.02292159      -0.49471892       0.00026270       0.00244747
       0.04700000       0.04944872      -0.02341631      -0.49448724       0.00027416       0.00244518
       0.04800000       0.04942506      -0.02391080      -0.49425060       0.00028586       0.00244284
       0.04900000       0.04940090      -0.02440505      -0.49400902       0.00029780       0.00244045
       0.05000000       0.04937625      -0.02489906      -0.49376250       0.00030998       0.00243801
       0.05100000       0.04935110      -0.02539282      -0.49351104       0.00032240       0.00243553
       0.05200000       0.04932547      -0.02588633      -0.49325465       0.00033505       0.00243300
       0.05300000       0.04929933      -0.02637958      -0.49299332       0.00034794       0.00243042
       0.05400000       0.04927271      -0.02687258      -0.49272705       0.00036107       0.00242780
       0.05500000       0.04924559      -0.02736530      -0.49245587       0.00037443       0.00242513
       0.05600000       0.04921798      -0.02785776      -0.49217975       0.00038803       0.00242241
       0.05700000       0.04918987      -0.02834994      -0.49189871       0.00040186       0.00241964
       0.05800000       0.04916128      -0.02884184      -0.49161275       0.00041593       0.00241683
       0.05900000       0.04913219      -0.02933345      -0.49132188       0.00043023       0.00241397
       0.06000000       0.04910261      -0.02982477      -0.49102608       0.00044476       0.00241107
       0.06100000       0.04907254      -0.03031580      -0.49072538       0.00045952       0.00240811
       0.06200000       0.04904198      -0.03080653      -0.49041977       0.00047452       0.00240512
       0.06300000       0.04901093      -0.03129695      -0.49010925       0.00048975       0.00240207
       0.06400000       0.04897938      -0.03178705      -0.48979383       0.00050521       0.00239898
       0.06500000       0.04894735      -0.03227685      -0.48947351       0.00052090       0.00239584
       0.06600000       0.04891483      -0.03276632      -0.48914830       0.00053682       0.00239266
       0.06700000       0.04888182      -0.03325547      -0.48881819       0.00055296       0.00238943
       0.06800000       0.04884832      -0.03374429      -0.48848319       0.00056934       0.00238616
       0.06900000       0.04881433      -0.03423277      -0.48814330       0.00058594       0.00238284
       0.07000000       0.04877985      -0.03472092      -0.48779854       0.00060277       0.00237947
